movie_id,avg_rating,avg_noised_rating,rating_count,rating_variance,noised_count,noised_variance
3,3.6,3.5,[ 61 111 429 666 257],0.96,[103 145 348 690 238],1.16
8,3.1,3.1,[1333 1633 2496 2252 1665],1.67,[1391 1691 2437 2246 1614],1.69
16,3.1,3.1,[ 149  487 1079  613  189],0.97,[ 233  441 1014  569  260],1.18
17,2.9,2.9,[ 337  940 1867  803  218],0.94,[ 428  849 1804  696  388],1.15
18,3.8,3.6,[ 161  621 2670 3761 2206],0.88,[ 653  846 2255 3764 1901],1.24
26,2.8,2.8,[ 580 1072 1671  702  237],1.12,[ 659  941 1568  681  413],1.36
28,3.8,3.6,[  650  2129  8578 12455  8585],0.94,[ 2211  3106  7415 12256  7409],1.3
30,3.7,3.5,[ 1670  5339 22381 32533 15579],0.88,[ 5379  7497 18923 31692 14011],1.22
32,4.1,4.0,[ 96  57 238 454 784],1.29,[130 119 188 389 803],1.62
33,4.1,4.0,[ 342  236  615 1332 2789],1.38,[ 425  394  605 1122 2768],1.65
44,3.7,3.5,[ 154  475 2330 2842 1387],0.87,[ 506  705 2037 2672 1268],1.22
45,3.0,3.0,[ 150  496 1046  502  119],0.9,[ 233  411 1006  415  248],1.19
46,3.8,3.6,[ 167  488 1497 1899 1620],1.1,[ 459  607 1260 1814 1531],1.48
47,3.2,3.2,[181 260 738 643 236],1.19,[242 303 661 569 283],1.42
48,3.7,3.5,[ 146  234  791 1120  758],1.15,[ 253  349  674 1062  711],1.44
52,3.7,3.5,[  89  218 1048 1478  717],0.88,[ 258  326  874 1418  674],1.25
55,3.0,3.0,[197 457 825 465 182],1.15,[257 417 741 463 248],1.36
56,3.6,3.5,[ 48 113 339 540 209],0.99,[ 85 134 292 541 197],1.19
57,3.7,3.5,[ 112  240  851 1245  676],1.02,[ 263  328  752 1183  598],1.35
58,3.6,3.4,[ 310 1444 5630 5866 2866],0.89,[1164 1792 4832 5604 2724],1.24
68,4.1,4.0,[102  83 213 354 865],1.43,[119 124 194 318 862],1.62
76,4.1,4.0,[ 149  122  401  703 1281],1.32,[ 197  198  352  665 1244],1.57
77,2.8,2.9,[1716 3010 4488 2452  905],1.24,[1781 2763 4274 2374 1379],1.41
78,2.9,3.0,[ 553  982 1525  892  342],1.26,[ 595  835 1467  906  491],1.42
79,3.8,3.6,[  81  150  761 1189  653],0.92,[ 212  273  663 1079  607],1.32
83,3.7,3.6,[ 236  944 4997 7645 2882],0.75,[1042 1480 3993 7455 2734],1.13
84,3.2,3.2,[206 299 897 650 266],1.18,[235 332 866 569 316],1.31
97,3.8,3.6,[ 160  339 1770 3534 1667],0.81,[ 520  644 1446 3382 1478],1.22
104,3.7,3.5,[  91  227  922 1100  671],1.0,[ 224  327  786 1050  624],1.33
108,3.2,3.1,[ 678 2316 6152 4413  920],0.87,[1303 2198 5626 3814 1538],1.18
110,3.0,3.1,[114 342 871 438  98],0.87,[171 306 817 384 185],1.13
111,3.1,3.1,[1417 4226 9767 5635 1612],0.96,[2132 3710 9209 5156 2450],1.19
118,3.4,3.3,[1014 2222 5785 5659 3048],1.18,[1668 2302 5113 5536 3109],1.4
122,2.9,2.9,[ 288  664 1098  552  207],1.13,[325 667 974 536 307],1.32
127,2.6,2.7,[494 783 950 425 144],1.2,[493 731 911 424 237],1.37
133,3.6,3.6,[290 129 358 524 731],1.94,[285 210 354 464 719],2.0
138,3.9,3.7,[ 287  305  900 1373 1925],1.38,[ 415  468  831 1291 1785],1.65
143,3.8,3.6,[  513  1980  8511 14452  8450],0.84,[ 2332  3134  6942 14013  7485],1.27
148,3.3,3.2,[1254 2978 7049 5724 2628],1.16,[1862 2968 6572 5332 2899],1.34
152,3.9,3.7,[ 130  334 1898 3311 2213],0.83,[ 543  634 1530 3177 2002],1.29
