user_id,avg_rating,avg_noised_rating,rating_count,rating_variance,noised_count,noised_variance
6,3.4,3.2,[ 4  8 74 50  9],0.63,[14 32 36 34 29],1.59
7,4.1,3.5,[ 3  7 42 62 78],0.91,[17 15 67 49 44],1.39
79,3.5,3.4,[16 15 54 65 39],1.33,[16 23 57 48 45],1.47
97,3.2,3.4,[14 16 34 27 21],1.58,[18  9 27 29 29],1.88
134,4.7,3.6,[  1   0   5  28 132],0.32,[13 14 40 57 42],1.38
169,3.7,3.6,[ 1  1 19 42  5],0.47,[ 4  8 16 21 19],1.38
183,3.7,3.8,[ 0  3 23 23 11],0.68,[ 3  5 16 16 20],1.32
188,3.4,3.6,[ 0  5 67 55  2],0.35,[14  9 31 42 33],1.55
195,3.6,3.7,[ 3 14 17 27 22],1.32,[ 4  7 23 29 20],1.17
199,4.0,3.5,[ 0  6 28 90 34],0.54,[13 20 40 45 40],1.5
201,3.7,3.8,[ 3 12 19 34 26],1.2,[ 3  6 26 28 31],1.12
265,3.7,3.6,[ 0  7 43 52 24],0.69,[ 8 13 31 38 36],1.39
268,4.3,4.1,[ 4  4  3 13 43],1.37,[ 2  1 15 21 28],0.96
283,3.5,3.4,[ 3 12 42 45 14],0.85,[11 14 31 38 22],1.43
291,3.6,3.5,[ 1  3 21 23  9],0.76,[ 6  4 14 19 14],1.51
296,3.3,3.4,[ 7  4 18 20  8],1.37,[ 6  8 14 15 14],1.64
298,3.7,3.5,[ 2  6 16 40  9],0.8,[ 9  5 19 24 16],1.56
302,3.3,3.5,[ 3  6 31 22  5],0.81,[ 5 10 17 18 17],1.5
304,3.7,3.7,[ 3  5 19 27 17],1.08,[ 4  8 15 19 25],1.46
305,4.0,3.5,[ 4  5  8 22 31],1.36,[ 7  7 16 21 19],1.59
383,3.5,3.4,[ 1 12 39 49 10],0.7,[11 12 30 33 25],1.51
424,3.4,3.4,[ 2 10 23 26  6],0.89,[ 6  9 21 15 16],1.52
437,2.7,3.2,[ 4 31 29  8  5],0.9,[13  6 23 23 12],1.64
462,3.1,3.3,[ 7 34 35 26 15],1.26,[13 22 28 26 28],1.73
477,3.4,3.4,[ 2 12 36 25 11],0.9,[ 6 15 22 25 18],1.43
481,4.3,3.7,[ 0  5 19 62 75],0.63,[10 14 36 57 44],1.31
485,3.5,3.6,[ 1 10 13 22  7],1.0,[ 3  4 16 17 13],1.22
527,3.4,3.6,[ 3 16 41 38 18],0.99,[ 8  9 26 46 27],1.26
536,4.3,3.5,[ 1  1 10 11 30],0.92,[ 2  8 15 15 13],1.27
561,3.9,3.7,[ 3  4 34 40 34],0.94,[ 8  7 23 46 31],1.27
592,3.8,3.5,[ 0  4 20 28 15],0.72,[ 3 10 20 21 13],1.2
596,3.8,3.6,[ 3  7 22 23 31],1.23,[ 7 15 13 25 26],1.69
602,3.9,3.7,[ 3  4 24 36 32],0.99,[ 4 11 24 34 26],1.21
609,3.8,3.5,[ 2  2 27 31 19],0.84,[ 6  8 23 26 18],1.34
614,3.7,3.6,[ 8 10 10 12 34],2.04,[ 7  8 12 24 23],1.63
684,4.1,3.7,[ 1  8 36 36 64],0.97,[10  9 36 47 43],1.33
695,3.3,3.6,[ 1  7 39 33  1],0.49,[ 5  9 18 32 17],1.26
735,4.0,3.6,[ 4  2 24 40 41],0.98,[ 7 10 30 40 24],1.24
742,3.8,3.5,[ 2  5  5 35 12],0.91,[ 6  4 17 16 16],1.54
756,2.5,3.2,[19 16 25 11  2],1.24,[15  9 17 12 20],2.17
766,4.4,3.9,[ 0  3  7 19 42],0.69,[ 5  3 11 28 24],1.28
769,3.1,3.3,[15 57 99 83 14],0.95,[32 34 73 78 51],1.56
785,3.8,3.7,[ 3  5 24 21 29],1.19,[ 5  8 17 25 27],1.41
788,3.5,3.6,[ 2 10 27 35 11],0.89,[ 8  6 20 32 19],1.4
834,3.3,3.4,[ 3 10 25 18  7],1.01,[ 6 11  8 30  8],1.41
906,3.7,3.6,[ 2 13 43 64 24],0.82,[ 5 19 38 56 28],1.09
933,3.5,3.6,[ 1  4 24 15  9],0.85,[ 2  5 18 16 12],1.11
979,3.2,3.3,[ 6  9 16 10 11],1.63,[ 3  7 20 14  8],1.14
981,3.4,3.4,[ 4 10 47 23 19],1.04,[ 5 18 29 32 19],1.25
998,3.7,3.7,[ 5  4  8 27 15],1.35,[ 4  5 14 20 16],1.34
1038,3.7,3.4,[ 0  4 16 27  9],0.66,[ 3  7 19 16 11],1.21
1044,3.3,3.4,[ 1 13 52 50  3],0.55,[14 10 32 42 21],1.46
1067,3.6,3.5,[ 5  3 14 21 11],1.32,[ 6  5 16 11 16],1.69
1070,3.8,3.5,[ 0  3 14 34  9],0.55,[ 6  8 15 14 17],1.68
1082,3.8,3.7,[ 2  6 13 26 16],1.07,[ 1  5 20 21 16],0.96
1086,3.5,3.6,[ 5 13 34 40 21],1.12,[10 11 19 42 31],1.5
1117,3.6,3.8,[ 1  1 32 17 10],0.71,[ 1  8 11 24 17],1.09
1146,3.4,3.4,[ 0  6 37 27  3],0.48,[ 7  9 23 15 19],1.58
1186,3.5,3.4,[ 1  4 38 26 11],0.7,[ 7 11 20 25 17],1.47
1211,4.3,3.8,[ 4  1  2 12 33],1.34,[ 2  5  9 20 16],1.18
1221,3.8,3.4,[ 2  7 15 15 24],1.32,[ 6  8 18 16 15],1.54
1276,3.6,3.5,[ 4 13 42 44 25],1.03,[ 6 21 34 38 29],1.31
1295,3.5,3.6,[ 8  7 23 23 20],1.51,[ 4 10 24 19 24],1.37
1310,3.6,3.5,[ 0 29 59 62 41],0.97,[ 8 26 58 57 42],1.21
1331,3.4,3.7,[ 1  6 42 30  7],0.62,[ 2  7 28 30 19],0.97
1333,2.7,3.1,[ 84 166 244 107  10],0.95,[ 88  95 170 185  73],1.5
1357,3.1,3.2,[ 9  9 22 19  8],1.42,[ 9  9 19 19 11],1.57
1374,3.9,3.5,[ 0  4 11 26 13],0.73,[ 4  6 14 19 11],1.32
1385,3.6,3.5,[ 0  3 22 20  8],0.65,[ 4  7 11 18 13],1.46
1409,3.6,3.3,[ 1 12 52 53 19],0.74,[ 9 23 44 40 21],1.25
1427,3.6,3.4,[ 8 22 36 86 35],1.1,[20 24 50 51 42],1.58
1442,4.3,3.6,[ 10   8  19  79 136],1.02,[11 23 69 97 52],1.09
1457,3.6,3.4,[ 2 19 59 79 26],0.79,[15 34 43 57 36],1.47
1500,3.6,3.6,[ 7 13 51 81 33],0.95,[13 22 43 57 50],1.44
1507,3.0,3.4,[14 15 29 10 15],1.7,[ 5 10 29 23 16],1.23
1523,3.2,3.3,[ 8 14 27 18 13],1.42,[ 5 11 27 25 12],1.18
1527,3.7,3.6,[ 7 19 61 42 61],1.28,[17 21 43 53 56],1.59
1533,3.7,3.7,[ 2  5 26 36 18],0.87,[ 7  3 23 29 25],1.33
1534,3.9,3.5,[ 0 10 27 47 31],0.83,[10 15 23 39 28],1.52
1573,4.0,3.7,[ 2  8 13 22 34],1.23,[ 7  6 14 28 24],1.5
1588,3.5,3.4,[ 2 18 30 42 18],1.01,[13 18 18 32 29],1.81
1611,3.7,3.4,[ 3 18 35 44 38],1.15,[14 15 39 38 32],1.53
1626,3.5,3.4,[ 4 17 49 50 21],0.96,[ 8 25 40 45 23],1.25
1636,3.2,3.3,[ 9 11 16 12 15],1.85,[ 8  7 17 18 13],1.62
1664,4.2,3.5,[ 0  2 21 44 44],0.63,[ 8 10 40 27 26],1.33
1689,3.6,3.4,[ 0 11 27 33 12],0.8,[ 5 12 24 27 15],1.26
1693,3.9,3.4,[ 1  5 20 76 25],0.58,[13 18 28 40 28],1.58
1701,3.2,3.3,[ 8  9 39 21 11],1.16,[ 7 14 26 27 14],1.33
1702,3.5,3.6,[ 1 11 46 44 16],0.76,[ 5 23 26 30 34],1.47
1715,4.2,3.8,[ 2  6 14 39 59],0.91,[ 3 12 31 39 35],1.12
1734,3.8,3.5,[ 8  1 42 32 39],1.23,[13 13 31 33 32],1.63
1738,3.6,3.4,[ 6  5 49 38 27],1.04,[11 14 37 38 25],1.39
1746,3.4,3.6,[ 6 15 21 16 23],1.63,[ 7 11 10 34 19],1.5
1809,3.8,3.8,[ 2 10 32 46 36],0.97,[ 5 11 30 42 38],1.19
1811,3.3,3.3,[ 8 15 31 39 12],1.18,[11  8 36 35 15],1.29
1830,3.9,3.6,[ 6 13 27 31 60],1.4,[ 9 19 29 35 45],1.56
1831,4.0,3.8,[ 1  3 19 38 24],0.75,[ 1  9 18 39 18],0.89
1846,3.9,3.6,[ 0  3 17 32 14],0.63,[ 5  6 17 19 19],1.45
1871,3.5,3.6,[ 7 25 41 34 42],1.43,[ 9 15 42 44 39],1.33
1894,3.9,3.5,[ 1  6 20 55 24],0.72,[ 7 19 27 25 28],1.53
